
"Banco de México"

"Tasas y precios de referencia"
"Costos de Captación"

"Fecha de consulta: 10/03/2026 03:25:51"

""

"Título","Costo de captación a plazo de pasivos en moneda nacional (CCP), Tasa en por ciento anual","Costo de captación a plazo de pasivos en moneda nacional observado (CCPO), Tasa en por ciento anual","Tasa de interés de los pasivos a plazo, Moneda nacional, Banca de Desarrollo"
"Periodo disponible","Ene 1996 - Feb 2026","Oct 2010 - Feb 2026","Ene 2000 - Feb 2026"
"Periodicidad","Mensual","Mensual","Mensual"
"Cifra","Porcentajes","Porcentajes","Porcentajes"
"Unidad","Porcentajes","Porcentajes","Porcentajes"
"Base","","",""
"Aviso","","",""
"Tipo de información","Niveles","Niveles","Niveles"
"Fecha","SF286","SF330232","SF31980"
01/01/1996,N/E,N/E,N/E
01/02/1996,37.22,N/E,N/E
01/03/1996,40.33,N/E,N/E
01/04/1996,36.61,N/E,N/E
01/05/1996,30.54,N/E,N/E
01/06/1996,27.96,N/E,N/E
01/07/1996,30.01,N/E,N/E
01/08/1996,28.58,N/E,N/E
01/09/1996,25.84,N/E,N/E
01/10/1996,25.79,N/E,N/E
01/11/1996,29.01,N/E,N/E
01/12/1996,28.19,N/E,N/E
01/01/1997,25.29,N/E,N/E
01/02/1997,22.09,N/E,N/E
01/03/1997,21.82,N/E,N/E
01/04/1997,21.91,N/E,N/E
01/05/1997,19.59,N/E,N/E
01/06/1997,19.60,N/E,N/E
01/07/1997,18.97,N/E,N/E
01/08/1997,18.21,N/E,N/E
01/09/1997,18.12,N/E,N/E
01/10/1997,17.36,N/E,N/E
01/11/1997,18.63,N/E,N/E
01/12/1997,18.87,N/E,N/E
01/01/1998,17.91,N/E,N/E
01/02/1998,17.95,N/E,N/E
01/03/1998,18.36,N/E,N/E
01/04/1998,18.65,N/E,N/E
01/05/1998,17.72,N/E,N/E
01/06/1998,18.18,N/E,N/E
01/07/1998,18.86,N/E,N/E
01/08/1998,20.07,N/E,N/E
01/09/1998,29.57,N/E,N/E
01/10/1998,31.43,N/E,N/E
01/11/1998,29.45,N/E,N/E
01/12/1998,30.47,N/E,N/E
01/01/1999,30.01,N/E,N/E
01/02/1999,28.64,N/E,N/E
01/03/1999,24.21,N/E,N/E
01/04/1999,20.31,N/E,N/E
01/05/1999,18.95,N/E,N/E
01/06/1999,19.75,N/E,N/E
01/07/1999,19.09,N/E,N/E
01/08/1999,19.18,N/E,N/E
01/09/1999,18.96,N/E,N/E
01/10/1999,18.11,N/E,N/E
01/11/1999,17.10,N/E,N/E
01/12/1999,16.34,N/E,N/E
01/01/2000,16.28,N/E,N/E
01/02/2000,16.07,N/E,N/E
01/03/2000,14.42,N/E,N/E
01/04/2000,13.12,N/E,N/E
01/05/2000,13.29,N/E,N/E
01/06/2000,14.42,N/E,N/E
01/07/2000,13.84,N/E,N/E
01/08/2000,13.98,N/E,N/E
01/09/2000,14.16,N/E,N/E
01/10/2000,14.44,N/E,N/E
01/11/2000,15.56,N/E,N/E
01/12/2000,15.55,N/E,17.69
01/01/2001,15.96,N/E,17.73
01/02/2001,15.82,N/E,17.40
01/03/2001,15.12,N/E,16.74
01/04/2001,14.33,N/E,16.21
01/05/2001,12.65,N/E,14.78
01/06/2001,10.15,N/E,12.23
01/07/2001,8.97,N/E,11.11
01/08/2001,8.04,N/E,9.65
01/09/2001,8.16,N/E,9.98
01/10/2001,8.53,N/E,10.23
01/11/2001,7.22,N/E,8.93
01/12/2001,6.49,N/E,7.99
01/01/2002,6.19,N/E,7.73
01/02/2002,6.76,N/E,8.49
01/03/2002,6.54,N/E,8.33
01/04/2002,5.46,N/E,7.09
01/05/2002,5.71,N/E,7.32
01/06/2002,6.15,N/E,7.77
01/07/2002,6.37,N/E,7.87
01/08/2002,5.81,N/E,7.06
01/09/2002,5.97,N/E,7.40
01/10/2002,6.47,N/E,8.05
01/11/2002,6.38,N/E,7.77
01/12/2002,6.21,N/E,7.71
01/01/2003,6.42,N/E,8.31
01/02/2003,7.16,N/E,9.15
01/03/2003,7.24,N/E,9.36
01/04/2003,6.71,N/E,8.42
01/05/2003,5.03,N/E,6.41
01/06/2003,4.50,N/E,5.64
01/07/2003,4.14,N/E,5.25
01/08/2003,3.83,N/E,4.90
01/09/2003,3.87,N/E,5.02
01/10/2003,4.16,N/E,5.40
01/11/2003,4.07,N/E,5.37
01/12/2003,4.66,N/E,6.11
01/01/2004,4.36,N/E,5.73
01/02/2004,4.28,N/E,5.70
01/03/2004,4.93,N/E,6.38
01/04/2004,4.82,N/E,6.16
01/05/2004,5.09,N/E,6.53
01/06/2004,5.17,N/E,6.66
01/07/2004,5.38,N/E,6.87
01/08/2004,5.61,N/E,7.18
01/09/2004,5.82,N/E,7.47
01/10/2004,6.08,N/E,7.82
01/11/2004,6.47,N/E,8.21
01/12/2004,6.92,N/E,8.74
01/01/2005,6.99,N/E,8.91
01/02/2005,7.19,N/E,9.17
01/03/2005,7.52,N/E,9.41
01/04/2005,7.78,N/E,9.67
01/05/2005,8.02,N/E,9.81
01/06/2005,7.99,N/E,9.83
01/07/2005,7.96,N/E,9.86
01/08/2005,8.03,N/E,9.85
01/09/2005,7.88,N/E,9.63
01/10/2005,7.73,N/E,9.40
01/11/2005,7.45,N/E,9.16
01/12/2005,7.15,N/E,8.78
01/01/2006,6.89,N/E,8.57
01/02/2006,6.56,N/E,8.07
01/03/2006,6.41,N/E,7.78
01/04/2006,6.21,N/E,7.67
01/05/2006,6.05,N/E,7.31
01/06/2006,5.93,N/E,7.30
01/07/2006,5.81,N/E,7.31
01/08/2006,5.81,N/E,7.32
01/09/2006,5.71,N/E,7.32
01/10/2006,5.77,N/E,7.30
01/11/2006,5.76,N/E,7.30
01/12/2006,5.78,N/E,7.32
01/01/2007,5.81,N/E,7.32
01/02/2007,5.82,N/E,7.33
01/03/2007,5.85,N/E,7.31
01/04/2007,5.84,N/E,7.32
01/05/2007,5.97,N/E,7.48
01/06/2007,5.98,N/E,7.51
01/07/2007,5.97,N/E,7.52
01/08/2007,6.02,N/E,7.52
01/09/2007,6.04,N/E,7.50
01/10/2007,6.09,N/E,7.53
01/11/2007,6.22,N/E,7.65
01/12/2007,6.24,N/E,7.67
01/01/2008,6.29,N/E,7.67
01/02/2008,6.41,N/E,7.71
01/03/2008,6.43,N/E,7.69
01/04/2008,6.44,N/E,7.69
01/05/2008,6.48,N/E,7.71
01/06/2008,6.54,N/E,7.75
01/07/2008,6.70,N/E,7.95
01/08/2008,6.91,N/E,8.19
01/09/2008,7.05,N/E,8.32
01/10/2008,7.14,N/E,8.12
01/11/2008,7.17,N/E,8.19
01/12/2008,7.20,N/E,8.34
01/01/2009,7.01,N/E,8.25
01/02/2009,6.69,N/E,7.88
01/03/2009,6.40,N/E,7.58
01/04/2009,5.85,N/E,6.89
01/05/2009,5.18,N/E,6.11
01/06/2009,4.69,N/E,5.60
01/07/2009,4.32,N/E,5.26
01/08/2009,4.13,N/E,5.09
01/09/2009,4.11,N/E,5.06
01/10/2009,4.12,N/E,5.07
01/11/2009,4.13,N/E,4.98
01/12/2009,4.16,N/E,4.95
01/01/2010,4.18,N/E,4.95
01/02/2010,4.17,N/E,4.95
01/03/2010,4.15,N/E,4.91
01/04/2010,4.13,N/E,4.92
01/05/2010,4.14,N/E,4.92
01/06/2010,4.17,N/E,4.92
01/07/2010,4.19,N/E,4.90
01/08/2010,4.21,N/E,4.88
01/09/2010,4.21,N/E,4.85
01/10/2010,4.20,4.21,4.77
01/11/2010,4.12,4.14,4.75
01/12/2010,4.14,4.15,4.75
01/01/2011,4.18,4.17,4.76
01/02/2011,4.15,4.16,4.74
